cve,change,date
CVE-2024-10443,0.77917,2025-06-13
CVE-2019-9762,0.50876,2025-06-13
CVE-2021-33558,0.55158,2025-06-12
CVE-2007-3927,0.64362,2025-06-09
CVE-2024-24328,0.60072,2025-06-08
CVE-2025-27007,0.58032,2025-06-06
CVE-2023-27856,0.52264,2025-06-05
CVE-2018-12455,0.54884,2025-06-04
CVE-2002-1623,0.61878,2025-06-04
CVE-2025-35939,0.61234,2025-06-03
CVE-2021-34187,0.51915,2025-06-01
CVE-2024-4620,0.61409,2025-06-01
CVE-2020-29047,0.61145,2025-06-01
CVE-2024-9916,0.79402,2025-06-01
CVE-2025-2011,0.50712,2025-05-29
CVE-2019-20504,0.52581,2025-05-24
CVE-2022-0592,0.58558,2025-05-23
CVE-2022-31161,0.62883,2025-05-23
CVE-2022-1950,0.54946,2025-05-23
CVE-2025-4632,0.59806,2025-05-23
CVE-2022-2297,0.54968,2025-05-22
CVE-2025-47916,0.76158,2025-05-22
CVE-2023-38950,0.74802,2025-05-20
CVE-2025-27920,0.64859,2025-05-20
CVE-2012-4253,0.51616,2025-05-17
CVE-2023-26482,0.74245,2025-05-15
CVE-2024-6235,0.51504,2025-05-15
CVE-2025-2563,0.56845,2025-05-15
CVE-2020-8862,-0.5008,2025-05-11
CVE-2024-6047,0.55938,2025-05-08
CVE-2025-27363,0.61217,2025-05-07
CVE-2024-31138,0.6242,2025-05-06
CVE-2025-32433,0.51914,2025-05-03
CVE-2012-4188,0.5506,2025-05-03
CVE-2012-4186,0.5506,2025-05-03
CVE-2025-32432,0.59234,2025-05-01
CVE-2025-31324,0.51149,2025-04-30
CVE-2025-29306,0.55438,2025-04-24
CVE-2022-1429,-0.62331,2025-04-23
CVE-2024-30040,-0.50528,2025-04-15
CVE-2023-46225,-0.6037,2025-04-15
CVE-2023-25234,0.59153,2025-04-15
CVE-2023-46474,0.58244,2025-04-15
CVE-2023-46258,-0.6037,2025-04-15
CVE-2023-44959,0.54158,2025-04-15
CVE-2023-46042,0.65923,2025-04-15
CVE-2024-23638,-0.65626,2025-04-15
CVE-2023-36761,-0.76323,2025-04-15
CVE-2023-34800,0.50622,2025-04-15
CVE-2023-46220,-0.6037,2025-04-15
CVE-2023-36033,-0.57542,2025-04-15
CVE-2023-38124,0.52341,2025-04-15
CVE-2024-43461,-0.72272,2025-04-15
CVE-2023-6016,0.65037,2025-04-15
CVE-2023-43641,0.5834,2025-04-15
CVE-2023-34600,0.52745,2025-04-15
CVE-2023-32049,-0.59545,2025-04-15
CVE-2023-46222,-0.6037,2025-04-15
CVE-2023-33568,0.54818,2025-04-15
CVE-2023-30805,-0.66498,2025-04-15
CVE-2023-29442,-0.50708,2025-04-15
CVE-2023-40057,-0.63756,2025-04-15
CVE-2023-41249,0.69238,2025-04-15
CVE-2023-41727,-0.6037,2025-04-15
CVE-2023-41993,-0.71087,2025-04-15
CVE-2023-29887,0.55211,2025-04-15
CVE-2024-25869,0.57843,2025-04-15
CVE-2023-46217,-0.59355,2025-04-15
CVE-2023-36563,-0.60757,2025-04-15
CVE-2023-39141,0.5199,2025-04-15
CVE-2024-20353,-0.56215,2025-04-15
CVE-2023-40477,0.81136,2025-04-15
CVE-2023-46223,-0.59355,2025-04-15
CVE-2023-29468,0.52628,2025-04-15
CVE-2023-46257,-0.6037,2025-04-15
CVE-2023-46261,-0.6037,2025-04-15
CVE-2023-49285,-0.60029,2025-04-15
CVE-2024-40766,-0.6013,2025-04-15
CVE-2024-21318,-0.53357,2025-04-15
CVE-2023-46224,-0.59355,2025-04-15
CVE-2023-46216,-0.6037,2025-04-15
CVE-2023-38545,-0.7209,2025-04-15
CVE-2023-29689,0.51639,2025-04-15
CVE-2023-36824,0.74793,2025-04-15
CVE-2023-36036,-0.56688,2025-04-15
CVE-2023-28434,-0.50073,2025-04-15
CVE-2023-24998,-0.56303,2025-04-15
CVE-2023-2442,0.6097,2025-04-15
CVE-2023-41080,-0.55922,2025-04-15
CVE-2023-36584,-0.52122,2025-04-15
CVE-2023-26601,-0.70427,2025-04-15
CVE-2023-48793,-0.58371,2025-04-15
CVE-2023-38333,-0.50708,2025-04-15
CVE-2023-46221,-0.6037,2025-04-15
CVE-2024-1403,-0.57267,2025-04-15
CVE-2024-38226,-0.5744,2025-04-15
CVE-2024-21410,-0.54834,2025-04-15
CVE-2023-51449,0.51421,2025-04-15
CVE-2023-30806,-0.66498,2025-04-15
CVE-2023-33735,0.65704,2025-04-15
CVE-2023-39108,0.64436,2025-04-15
CVE-2023-5561,0.51399,2025-04-15
CVE-2023-4568,0.65515,2025-04-15
CVE-2023-38039,-0.55756,2025-04-15
CVE-2023-41763,-0.63714,2025-04-15
CVE-2023-39109,0.64436,2025-04-15
CVE-2024-23624,-0.54906,2025-04-15
CVE-2023-30019,0.50103,2025-04-15
CVE-2023-33404,0.65266,2025-04-15
CVE-2023-39110,0.64436,2025-04-15
CVE-2023-39750,0.56412,2025-04-15
CVE-2023-48792,-0.58371,2025-04-15
CVE-2024-23625,-0.5612,2025-04-15
CVE-2023-46259,-0.6037,2025-04-15
CVE-2023-24243,0.61851,2025-04-15
CVE-2023-41064,0.64661,2025-04-15
CVE-2023-5003,0.57525,2025-04-15
CVE-2024-7965,-0.55279,2025-04-15
CVE-2024-1635,-0.52231,2025-04-14
CVE-2022-48428,-0.85658,2025-04-14
CVE-2025-3248,0.57411,2025-04-14
CVE-2023-38180,-0.5605,2025-04-13
CVE-2024-45256,0.60181,2025-04-13
CVE-2025-2264,0.56342,2025-04-11
CVE-2023-44443,0.64839,2025-04-08
CVE-2023-44442,0.56586,2025-04-08
CVE-2024-12971,0.61234,2025-04-08
CVE-2024-7314,0.75756,2025-04-05
CVE-2023-22047,0.52756,2025-04-03
CVE-2019-10742,-0.50211,2025-03-30
CVE-2018-6184,-0.51192,2025-03-30
CVE-2023-34753,-0.58097,2025-03-30
CVE-2018-7160,-0.55868,2025-03-30
CVE-2024-10828,-0.51187,2025-03-30
CVE-2023-34229,0.51264,2025-03-30
CVE-2019-1038,-0.55435,2025-03-30
CVE-2018-11761,-0.55072,2025-03-30
CVE-2022-32022,-0.5993,2025-03-30
CVE-2022-32018,-0.64628,2025-03-30
CVE-2023-1408,-0.65476,2025-03-30
CVE-2018-0996,-0.50062,2025-03-30
CVE-2017-13704,0.56519,2025-03-30
CVE-2024-6922,-0.6107,2025-03-30
CVE-2020-16010,-0.57535,2025-03-30
CVE-2024-52316,-0.65434,2025-03-30
CVE-2018-8403,-0.57674,2025-03-30
CVE-2014-2053,-0.51834,2025-03-30
CVE-2018-8390,-0.51355,2025-03-30
CVE-2020-14820,-0.73852,2025-03-30
CVE-2018-1001,-0.50062,2025-03-30
CVE-2022-2462,-0.63118,2025-03-30
CVE-2012-4440,-0.50486,2025-03-30
CVE-2022-35493,-0.55658,2025-03-30
CVE-2020-14570,-0.50729,2025-03-30
CVE-2022-2187,-0.5028,2025-03-30
CVE-2022-0422,-0.61873,2025-03-30
CVE-2021-35552,-0.57533,2025-03-30
CVE-2021-30134,-0.54691,2025-03-30
CVE-2018-8115,-0.54068,2025-03-30
CVE-2022-3908,-0.54737,2025-03-30
CVE-2022-4295,-0.58393,2025-03-30
CVE-2024-1210,-0.54239,2025-03-30
CVE-2024-49757,-0.59376,2025-03-30
CVE-2024-36369,0.59354,2025-03-30
CVE-2021-24435,-0.58212,2025-03-30
CVE-2021-41524,-0.50737,2025-03-30
CVE-2022-0653,-0.5732,2025-03-30
CVE-2022-27984,-0.56922,2025-03-30
CVE-2022-34590,-0.54136,2025-03-30
CVE-2022-41099,-0.59655,2025-03-30
CVE-2022-4325,-0.54786,2025-03-30
CVE-2023-1835,-0.58565,2025-03-30
CVE-2023-1263,-0.58894,2025-03-30
CVE-2023-1318,-0.52287,2025-03-30
CVE-2023-1890,-0.61349,2025-03-30
CVE-2022-4301,-0.51634,2025-03-30
CVE-2023-33439,-0.64337,2025-03-30
CVE-2023-40600,-0.53785,2025-03-30
CVE-2023-34225,0.51264,2025-03-30
CVE-2019-0233,-0.69198,2025-03-30
CVE-2022-21292,-0.73751,2025-03-30
CVE-2020-27846,-0.50953,2025-03-30
CVE-2019-2922,-0.50696,2025-03-30
CVE-2023-39598,-0.51697,2025-03-30
CVE-2023-0448,-0.55503,2025-03-30
CVE-2023-34752,-0.63375,2025-03-30
CVE-2023-34220,0.51264,2025-03-30
CVE-2023-34751,-0.58097,2025-03-30
CVE-2023-34221,0.51264,2025-03-30
CVE-2024-7591,-0.53806,2025-03-30
CVE-2017-3132,-0.61304,2025-03-30
CVE-2023-2252,-0.73848,2025-03-30
CVE-2017-5868,-0.53,2025-03-30
CVE-2019-0730,-0.58077,2025-03-30
CVE-2020-2728,-0.72378,2025-03-30
CVE-2021-25104,-0.55909,2025-03-30
CVE-2021-24627,-0.62857,2025-03-30
CVE-2021-2204,-0.59772,2025-03-30
CVE-2020-2967,-0.76729,2025-03-30
CVE-2020-28976,-0.63447,2025-03-30
CVE-2020-14588,-0.7016,2025-03-30
CVE-2021-21980,-0.5131,2025-03-30
CVE-2019-20041,-0.55288,2025-03-30
CVE-2021-22880,-0.6158,2025-03-30
CVE-2021-2378,-0.52608,2025-03-30
CVE-2018-8275,-0.51308,2025-03-30
CVE-2022-1724,-0.60356,2025-03-30
CVE-2018-0954,-0.5123,2025-03-30
CVE-2024-38288,-0.61671,2025-03-30
CVE-2023-2009,-0.57456,2025-03-30
CVE-2022-4897,-0.65174,2025-03-30
CVE-2020-13671,-0.57019,2025-03-30
CVE-2021-30116,-0.55892,2025-03-30
CVE-2022-23544,-0.5736,2025-03-30
CVE-2022-32007,-0.61354,2025-03-30
CVE-2022-3934,-0.56866,2025-03-30
CVE-2022-41049,-0.53896,2025-03-30
CVE-2017-17091,-0.56668,2025-03-30
