cve,change,date
CVE-2002-1623 ,-0.61878,2025-08-01
CVE-2019-13345,-0.51406,2025-07-30
CVE-2023-38061,-0.50394,2025-07-30
CVE-2000-0886 ,-0.58677,2025-07-30
CVE-2023-38063,-0.50394,2025-07-30
CVE-2023-38065,-0.50394,2025-07-30
CVE-2020-11100,-0.75843,2025-07-30
CVE-2001-0151 ,-0.6505,2025-07-30
CVE-2000-0408 ,-0.51606,2025-07-30
CVE-2025-30004,0.52314,2025-07-23
CVE-2025-30005,0.56448,2025-07-23
CVE-2021-21797,0.71181,2025-07-20
CVE-2021-21796,0.75185,2025-07-20
CVE-2025-5306 ,0.62807,2025-07-17
CVE-2020-9548 ,0.56428,2025-07-11
CVE-2024-51978,0.69199,2025-07-10
CVE-2014-3931 ,0.60165,2025-07-08
CVE-2025-34073,0.75287,2025-07-04
CVE-2020-6116 ,-0.72922,2025-07-03
CVE-2020-6113 ,-0.67689,2025-07-03
